#GROUP:PG1,,,,,,,,,,,,,,,,,,,,,,,,,
24,325,347,369,391,412,434,456,478,500,521,543,565,,,,,,,,,,,,,
30,329,352,375,398,420,443,466,489,511,534,557,579,,,,,,,,,,,,,
36,333,357,381,404,428,452,476,499,523,547,570,594,,,,,,,,,,,,,
42,338,362,387,412,437,461,486,511,535,560,585,609,,,,,,,,,,,,,
48,342,367,393,419,444,470,496,521,547,573,598,624,,,,,,,,,,,,,
54,346,372,399,426,452,479,505,532,559,585,612,639,,,,,,,,,,,,,
60,350,378,405,433,461,488,516,543,571,599,626,654,,,,,,,,,,,,,
66,354,383,411,440,468,497,526,554,583,611,640,669,,,,,,,,,,,,,
72,358,388,417,447,477,506,536,565,595,625,654,684,,,,,,,,,,,,,
78,363,393,424,455,485,516,546,577,607,638,669,699,,,,,,,,,,,,,
84,367,398,430,461,493,524,556,588,619,651,682,714,,,,,,,,,,,,,
90,371,404,436,469,501,534,566,599,631,664,697,729,,,,,,,,,,,,,
96,375,409,442,476,509,543,576,610,643,677,710,744,,,,,,,,,,,,,
102,379,414,448,483,517,552,586,620,655,689,724,758,,,,,,,,,,,,,
108,384,419,455,490,526,561,596,632,667,703,738,774,,,,,,,,,,,,,
114,388,424,460,497,533,570,606,643,679,716,752,788,,,,,,,,,,,,,
120,392,429,466,504,541,579,616,653,691,728,766,803,,,,,,,,,,,,,
126,396,435,473,511,550,588,627,665,703,742,780,819,,,,,,,,,,,,,
132,400,440,479,518,558,597,636,676,715,755,794,833,,,,,,,,,,,,,
138,404,444,485,525,566,606,646,687,727,767,808,848,,,,,,,,,,,,,
144,408,449,491,532,573,615,656,697,739,780,821,863,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#TARGET:illusionxlbo,,,,,,,,,,,,,,,,,,,,,,,,,
,24,30,36,42,48,54,60,66,72,78,84,90,,,,,,,,,,,,,
24,340,366,391,417,442,467,493,518,544,569,595,620,,,,,,,,,,,,,
30,347,374,401,428,455,482,509,536,563,590,617,644,,,,,,,,,,,,,
36,353,382,410,439,467,496,525,553,582,611,639,668,,,,,,,,,,,,,
42,360,390,420,451,481,511,541,571,602,632,662,692,,,,,,,,,,,,,
48,366,398,430,462,493,525,557,589,621,653,684,716,,,,,,,,,,,,,
54,373,406,439,473,506,540,573,606,640,673,707,740,,,,,,,,,,,,,
60,380,415,450,485,520,555,590,625,660,695,730,765,,,,,,,,,,,,,
66,386,422,459,496,532,569,605,642,679,715,752,788,,,,,,,,,,,,,
72,393,431,469,507,545,584,622,660,698,736,775,813,,,,,,,,,,,,,
78,400,439,479,519,559,599,638,678,718,758,798,837,,,,,,,,,,,,,
84,406,447,489,530,572,613,654,696,737,778,820,861,,,,,,,,,,,,,
90,413,456,499,542,585,628,671,714,757,800,843,886,,,,,,,,,,,,,
96,419,464,509,553,598,642,687,731,776,820,865,910,,,,,,,,,,,,,
102,426,472,518,564,610,657,703,749,795,841,887,933,,,,,,,,,,,,,
108,433,481,528,576,624,672,719,767,815,863,910,958,,,,,,,,,,,,,
114,439,489,538,587,637,686,735,785,834,883,933,982,,,,,,,,,,,,,
120,446,497,547,598,649,700,751,802,853,904,955,1006,,,,,,,,,,,,,
126,453,505,558,610,663,715,768,820,873,925,978,1031,,,,,,,,,,,,,
132,459,513,567,622,676,730,784,838,892,946,1000,1054,,,,,,,,,,,,,
138,466,521,577,633,688,744,800,855,911,967,1023,1078,,,,,,,,,,,,,
144,472,529,587,644,701,758,816,873,930,988,1045,1102,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
